k,error,accuracy
1,2081,76.92392991794189
3,2109,76.61343978709249
5,2087,76.85739631847416
7,2017,77.6336216455977
9,2008,77.7334220447993
11,1992,77.91084497671325
13,2013,77.67797737857617
15,2009,77.72233311155466
17,2014,77.66688844533157
19,2024,77.55599911288535
21,2028,77.51164337990686
23,2036,77.42293191394988
25,2043,77.34530938123753
27,2047,77.30095364825904
29,2048,77.28986471501442
31,2055,77.21224218230206
33,2059,77.16788644932357
35,2062,77.13461964958971
37,2074,77.00155245065424
39,2075,76.99046351740962
41,2077,76.96828565092038
43,2076,76.979374584165
45,2075,76.99046351740962
47,2083,76.90175205145266
49,2084,76.89066311820802
51,2082,76.91284098469727
53,2085,76.8795741849634
55,2044,77.3342204479929
57,1987,77.96628964293635
59,1987,77.96628964293635
61,1988,77.95520070969172
63,1989,77.9441117764471
65,1989,77.9441117764471
67,1989,77.9441117764471
69,1990,77.93302284320248
71,1988,77.95520070969172
73,1985,77.98846750942559
75,1987,77.96628964293635
77,1988,77.95520070969172
79,1988,77.95520070969172
81,1992,77.91084497671325
83,1991,77.92193390995786
85,1989,77.9441117764471
87,1988,77.95520070969172
89,1990,77.93302284320248
91,1990,77.93302284320248
93,1984,77.99955644267021
95,1986,77.97737857618097
97,1990,77.93302284320248
99,1987,77.96628964293635
101,1986,77.97737857618097
103,1987,77.96628964293635
105,1988,77.95520070969172
107,1987,77.96628964293635
109,1990,77.93302284320248
111,1989,77.9441117764471
113,1990,77.93302284320248
115,1978,78.06609004213794
117,1949,78.38766910623198
119,1949,78.38766910623198
121,1949,78.38766910623198
123,1945,78.43202483921047
125,1928,78.62053670436904
127,1920,78.70924817032602
129,1919,78.72033710357064
131,1918,78.73142603681525
133,1915,78.76469283654912
135,1917,78.74251497005989
137,1914,78.77578176979375
139,1913,78.78687070303837
141,1913,78.78687070303837
143,1914,78.77578176979375
145,1910,78.82013750277224
147,1907,78.8534043025061
149,1904,78.88667110223997
151,1901,78.91993790197384
153,1900,78.93102683521846
155,1902,78.9088489687292
157,1902,78.9088489687292
159,1898,78.95320470170769
161,1899,78.94211576846307
163,1896,78.97538256819693
165,1896,78.97538256819693
167,1894,78.99756043468619
169,1893,79.0086493679308
171,1891,79.03082723442006
173,1891,79.03082723442006
175,1890,79.04191616766467
177,1890,79.04191616766467
179,1887,79.07518296739853
181,1887,79.07518296739853
183,1887,79.07518296739853
185,1885,79.09736083388778
187,1885,79.09736083388778
189,1884,79.1084497671324
191,1883,79.11953870037702
193,1885,79.09736083388778
195,1885,79.09736083388778
197,1884,79.1084497671324
199,1885,79.09736083388778
201,1884,79.1084497671324
203,1883,79.11953870037702
205,1883,79.11953870037702
207,1882,79.13062763362164
209,1882,79.13062763362164
211,1883,79.11953870037702
213,1883,79.11953870037702
215,1882,79.13062763362164
217,1881,79.14171656686626
219,1881,79.14171656686626
221,1890,79.04191616766467
223,1890,79.04191616766467
225,1892,79.01973830117542
227,1892,79.01973830117542
229,1893,79.0086493679308
231,1893,79.0086493679308
233,1893,79.0086493679308
235,1893,79.0086493679308
237,1895,78.98647150144156
239,1896,78.97538256819693
241,1895,78.98647150144156
243,1895,78.98647150144156
245,1896,78.97538256819693
247,1896,78.97538256819693
249,1895,78.98647150144156
251,1894,78.99756043468619
253,1895,78.98647150144156
255,1896,78.97538256819693
257,1896,78.97538256819693
259,1897,78.96429363495233
261,1897,78.96429363495233
263,1895,78.98647150144156
265,1898,78.95320470170769
267,1898,78.95320470170769
269,1899,78.94211576846307
271,1900,78.93102683521846
273,1900,78.93102683521846
275,1900,78.93102683521846
277,1900,78.93102683521846
279,1901,78.91993790197384
281,1903,78.8977600354846
283,1906,78.86449323575071
285,1904,78.88667110223997
287,1904,78.88667110223997
289,1905,78.87558216899534
291,1907,78.8534043025061
293,1910,78.82013750277224
295,1908,78.84231536926147
297,1907,78.8534043025061
299,1908,78.84231536926147
301,1908,78.84231536926147
303,1907,78.8534043025061
305,1907,78.8534043025061
307,1907,78.8534043025061
309,1908,78.84231536926147
311,1908,78.84231536926147
313,1910,78.82013750277224
315,1911,78.8090485695276
317,1911,78.8090485695276
319,1912,78.79795963628298
321,1914,78.77578176979375
323,1912,78.79795963628298
325,1913,78.78687070303837
327,1914,78.77578176979375
329,1913,78.78687070303837
331,1914,78.77578176979375
333,1913,78.78687070303837
335,1914,78.77578176979375
337,1914,78.77578176979375
339,1914,78.77578176979375
341,1913,78.78687070303837
343,1913,78.78687070303837
345,1914,78.77578176979375
347,1914,78.77578176979375
349,1914,78.77578176979375
351,1913,78.78687070303837
353,1911,78.8090485695276
355,1910,78.82013750277224
357,1910,78.82013750277224
359,1910,78.82013750277224
361,1911,78.8090485695276
363,1912,78.79795963628298
365,1913,78.78687070303837
367,1914,78.77578176979375
369,1915,78.76469283654912
371,1914,78.77578176979375
373,1914,78.77578176979375
375,1915,78.76469283654912
377,1915,78.76469283654912
379,1915,78.76469283654912
381,1915,78.76469283654912
383,1916,78.75360390330451
385,1916,78.75360390330451
387,1918,78.73142603681525
389,1919,78.72033710357064
391,1919,78.72033710357064
393,1917,78.74251497005989
395,1918,78.73142603681525
397,1915,78.76469283654912
399,1917,78.74251497005989
401,1917,78.74251497005989
403,1916,78.75360390330451
405,1916,78.75360390330451
407,1917,78.74251497005989
409,1917,78.74251497005989
411,1917,78.74251497005989
413,1918,78.73142603681525
415,1917,78.74251497005989
417,1917,78.74251497005989
419,1917,78.74251497005989
421,1917,78.74251497005989
423,1917,78.74251497005989
425,1915,78.76469283654912
427,1913,78.78687070303837
429,1912,78.79795963628298
431,1912,78.79795963628298
433,1911,78.8090485695276
435,1911,78.8090485695276
437,1910,78.82013750277224
439,1910,78.82013750277224
441,1911,78.8090485695276
443,1911,78.8090485695276
445,1910,78.82013750277224
447,1910,78.82013750277224
449,1910,78.82013750277224
451,1910,78.82013750277224
453,1910,78.82013750277224
455,1910,78.82013750277224
457,1911,78.8090485695276
459,1911,78.8090485695276
461,1912,78.79795963628298
463,1912,78.79795963628298
465,1912,78.79795963628298
467,1911,78.8090485695276
469,1911,78.8090485695276
471,1911,78.8090485695276
473,1911,78.8090485695276
475,1911,78.8090485695276
477,1911,78.8090485695276
479,1911,78.8090485695276
481,1911,78.8090485695276
483,1911,78.8090485695276
485,1911,78.8090485695276
487,1912,78.79795963628298
489,1912,78.79795963628298
491,1911,78.8090485695276
493,1910,78.82013750277224
495,1910,78.82013750277224
497,1909,78.83122643601685
499,1909,78.83122643601685
501,1909,78.83122643601685
503,1909,78.83122643601685
505,1909,78.83122643601685
507,1909,78.83122643601685
509,1909,78.83122643601685
511,1909,78.83122643601685
513,1908,78.84231536926147
515,1909,78.83122643601685
517,1910,78.82013750277224
519,1910,78.82013750277224
521,1911,78.8090485695276
523,1912,78.79795963628298
525,1910,78.82013750277224
527,1911,78.8090485695276
529,1911,78.8090485695276
531,1912,78.79795963628298
533,1911,78.8090485695276
535,1912,78.79795963628298
537,1912,78.79795963628298
539,1912,78.79795963628298
541,1912,78.79795963628298
543,1828,79.72943002883123
545,1827,79.74051896207584
547,1826,79.75160789532048
549,1827,79.74051896207584
551,1822,79.79596362829896
553,1823,79.78487469505433
555,1822,79.79596362829896
557,1822,79.79596362829896
559,1821,79.80705256154359
561,1822,79.79596362829896
563,1823,79.78487469505433
565,1823,79.78487469505433
567,1820,79.8181414947882
569,1822,79.79596362829896
571,1821,79.80705256154359
573,1821,79.80705256154359
575,1822,79.79596362829896
577,1821,79.80705256154359
579,1821,79.80705256154359
581,1821,79.80705256154359
583,1822,79.79596362829896
585,1822,79.79596362829896
587,1823,79.78487469505433
589,1822,79.79596362829896
591,1822,79.79596362829896
593,1822,79.79596362829896
595,1821,79.80705256154359
597,1821,79.80705256154359
599,1820,79.8181414947882
601,1819,79.82923042803283
603,1819,79.82923042803283
605,1819,79.82923042803283
607,1818,79.84031936127745
609,1818,79.84031936127745
611,1817,79.85140829452206
613,1818,79.84031936127745
615,1817,79.85140829452206
617,1815,79.87358616101132
619,1816,79.8624972277667
621,1818,79.84031936127745
623,1816,79.8624972277667
625,1816,79.8624972277667
627,1815,79.87358616101132
629,1815,79.87358616101132
631,1814,79.88467509425593
633,1814,79.88467509425593
635,1813,79.89576402750056
637,1813,79.89576402750056
639,1814,79.88467509425593
641,1814,79.88467509425593
643,1814,79.88467509425593
645,1813,79.89576402750056
647,1813,79.89576402750056
649,1812,79.90685296074518
651,1812,79.90685296074518
653,1812,79.90685296074518
655,1812,79.90685296074518
657,1812,79.90685296074518
659,1812,79.90685296074518
661,1811,79.91794189398979
663,1811,79.91794189398979
665,1812,79.90685296074518
667,1812,79.90685296074518
669,1812,79.90685296074518
671,1813,79.89576402750056
673,1812,79.90685296074518
675,1812,79.90685296074518
677,1812,79.90685296074518
679,1812,79.90685296074518
681,1812,79.90685296074518
683,1812,79.90685296074518
685,1812,79.90685296074518
687,1812,79.90685296074518
689,1811,79.91794189398979
691,1811,79.91794189398979
693,1812,79.90685296074518
695,1813,79.89576402750056
697,1813,79.89576402750056
699,1813,79.89576402750056
701,1813,79.89576402750056
703,1814,79.88467509425593
705,1814,79.88467509425593
707,1814,79.88467509425593
709,1814,79.88467509425593
711,1811,79.91794189398979
713,1812,79.90685296074518
715,1812,79.90685296074518
717,1813,79.89576402750056
719,1813,79.89576402750056
721,1813,79.89576402750056
723,1813,79.89576402750056
725,1813,79.89576402750056
727,1813,79.89576402750056
729,1813,79.89576402750056
731,1814,79.88467509425593
733,1813,79.89576402750056
735,1811,79.91794189398979
737,1812,79.90685296074518
739,1811,79.91794189398979
741,1811,79.91794189398979
743,1811,79.91794189398979
745,1811,79.91794189398979
747,1810,79.92903082723441
749,1809,79.94011976047905
751,1808,79.95120869372366
753,1808,79.95120869372366
755,1807,79.96229762696828
757,1808,79.95120869372366
759,1808,79.95120869372366
761,1808,79.95120869372366
763,1808,79.95120869372366
765,1809,79.94011976047905
767,1809,79.94011976047905
769,1809,79.94011976047905
771,1808,79.95120869372366
773,1808,79.95120869372366
775,1808,79.95120869372366
777,1809,79.94011976047905
779,1809,79.94011976047905
781,1810,79.92903082723441
783,1809,79.94011976047905
785,1809,79.94011976047905
787,1809,79.94011976047905
789,1809,79.94011976047905
791,1809,79.94011976047905
793,1809,79.94011976047905
795,1808,79.95120869372366
797,1808,79.95120869372366
799,1808,79.95120869372366
801,1808,79.95120869372366
803,1808,79.95120869372366
805,1807,79.96229762696828
807,1807,79.96229762696828
809,1807,79.96229762696828
811,1805,79.98447549345752
813,1805,79.98447549345752
